num_ver,max_ratio,mean
19,1.13955853796,2008.27428934
37,1.39259878206,1226.62685325
40,1.37777050426,1113.35836715
61,1.2978320945,848.142012332
83,1.33232085323,701.545308454
104,1.39672797018,619.46298879
125,1.41943253045,569.40906623
147,1.47895429996,511.945158571
168,1.45382519825,473.525202475
190,1.00201851708,381.152145187
