num_ver,max,min,mean
8,1200.19036728,589.1251777,849.929129342
11,884.716518884,434.563357272,633.500115123
15,746.001963812,360.419416567,527.203448794
15,746.001963812,360.419416567,527.203448794
18,641.141237551,347.125282367,451.494265652
22,513.286064322,321.524903455,407.149040107
25,519.417741656,319.567661627,381.037799148
29,419.997688796,319.567661627,351.379330678
32,433.664894008,319.567661627,339.509795787
36,319.567661627,319.567661627,319.567661627
