num_ver,max,min,mean
20,3631.79922108,3631.79922108,72.6359844217
43,2179.35586191,2179.35586191,43.5871172382
67,1464.63932147,1464.63932147,29.2927864295
91,1195.89588757,1195.89588757,23.9179177514
115,1177.08313931,1177.08313931,23.5416627862
138,1010.51905674,1010.51905674,20.2103811348
162,993.973866953,993.973866953,19.8794773391
186,971.698006385,971.698006385,19.4339601277
210,944.667142563,944.667142563,18.8933428513
39,2054.76874615,2054.76874615,41.095374923
