num_ver,max,min,mean
17,4313.0022207,2264.71457924,3107.77258712
33,2614.08327496,1674.69454576,2040.87070524
34,2904.62378475,1515.40954162,2000.63872498
51,2030.18750709,1269.67472676,1543.51322881
68,1813.48392821,1088.32275852,1366.36705314
85,1386.21355432,1045.94766654,1196.290268
102,1329.10020892,933.938415605,1072.22521223
119,1190.04636368,931.743868878,1022.77626776
136,1061.02640355,931.692151892,968.387399176
153,931.692151892,931.692151892,931.692151892
