num_ver,max,min,mean
14,2322.53186479,1305.40780351,1663.93283159
25,1554.0014076,796.504230186,1198.61776919
27,1592.14456798,920.783448659,1181.23211834
36,1306.95686367,761.065304907,1083.00592797
48,1166.47558712,784.152526376,978.12937985
59,1162.38123084,680.584347851,956.461862842
70,1151.24498376,728.990581158,904.234716615
82,1051.55266981,728.382324725,881.38208948
93,987.037518007,770.104462584,849.246455777
105,798.547099038,798.547099038,798.547099038
