num_ver,max,min,mean
6,1434.23480895,650.945943891,1007.28991015
7,1383.30786498,571.758818447,918.462381585
9,1094.51169347,430.200702862,762.113616149
11,951.588422509,384.590368433,662.055109268
11,951.588422509,384.590368433,662.055109268
13,878.214238661,384.590368433,590.358597445
15,774.911235654,385.304145441,510.809823955
17,650.093163111,384.590368433,447.595837121
19,615.661600859,384.590368433,427.821367046
21,384.590368433,384.590368433,384.590368433
