num_ver,max,min,mean
11,1672.25648456,943.309004566,1253.02549351
17,1463.78021744,648.331322636,971.434571772
21,1161.18232515,551.002037647,882.944068325
24,1136.41881739,610.345695334,831.852300397
31,988.464860295,590.859646669,795.378460724
38,995.988008693,600.399804035,778.942607419
45,980.866397502,537.605064442,731.646441001
52,886.371087688,523.460558232,715.842224106
59,900.433447619,579.944930296,706.948571508
66,687.189252622,687.189252622,687.189252622
