num_ver,max,min,mean
15,1964.06963108,1192.67631786,1594.89137275
28,1494.32122909,773.31433489,1119.43755585
29,1501.27685026,860.104198766,1132.62303452
41,1270.63434059,761.202873458,962.862275504
54,1122.46742939,743.668011687,932.144232142
67,1276.45432451,749.371559956,887.782507057
80,1036.32048798,709.295014937,859.321350127
93,989.983090611,638.67537516,831.445993451
106,938.305147311,664.535110211,787.13866543
120,807.027838462,807.027838462,807.027838462
