num_ver,max,min,mean
21,2111.07373654,2111.07373654,42.2214747308
47,1290.12435921,1290.12435921,25.8024871842
73,904.876452094,904.876452094,18.0975290419
99,809.693019437,809.693019437,16.1938603887
126,542.498863345,542.498863345,10.8499772669
152,485.631148037,485.631148037,9.71262296074
178,450.294727364,450.294727364,9.00589454728
204,429.294916632,429.294916632,8.58589833263
231,419.582757144,419.582757144,8.39165514287
41,1302.82812389,1302.82812389,26.0565624778
