num_ver,max,min,mean
11,2470.17453425,1114.61934783,1700.62962674
17,1725.31360816,915.272174149,1292.54603899
21,1670.03260317,834.659408171,1184.66531577
24,1409.65714354,862.466841072,1095.78636091
31,1284.6734215,735.577400505,978.811732006
38,1099.11553962,673.707691733,894.284621843
45,995.840781272,687.189252622,812.555305754
52,897.741537422,638.162387243,747.2046486
59,818.05129578,687.189252622,717.779825416
66,687.189252622,687.189252622,687.189252622
