num_ver,max,min,mean
11,1570.31539834,946.425245612,1273.29394257
17,1269.87551865,563.593159465,869.80453851
21,978.730820427,466.756613718,761.515232219
24,1063.84420763,456.214375254,716.703577846
31,826.420917691,469.522334093,621.079924652
38,796.706514335,410.200122638,552.415357084
45,626.536849334,394.181274043,508.852938937
52,561.088972495,394.181274043,464.126342553
59,513.022098561,394.181274043,428.828851105
66,421.366478358,421.366478358,421.366478358
